index,rhop,rhot,total_parallel_current_density_a_per_m2,bootstrap_parallel_current_density_a_per_m2,bootstrap_current_density_raw_jbsbav_a_per_m2,driven_parallel_current_density_a_per_m2
98,0.875,0.6906794272900636,306822.546165,91706.12414102115,43607.1222325,215116.42202397884
99,0.879452954966893,0.6973996999240946,299745.79472976376,89087.07770182764,42361.74108400788,210658.7170279361
100,0.8838834764831844,0.7042414397644284,292805.41612288734,86329.21901852071,41050.35341138099,206476.1971043666
101,0.8882919002219934,0.711212282433873,286066.1714533733,83410.76177134989,39662.59961522229,202655.40968202343
102,0.8926785535678563,0.7183203804134197,279607.67872901686,80363.04566867591,38213.38202082377,199244.63306034097
103,0.8970437559004577,0.7255744288584053,273526.6987687683,77217.95199401349,36717.86047754312,196308.7467747548
104,0.9013878188659973,0.7329836929504607,267941.0472288167,73994.66803279534,35185.15871958034,193946.37919602141
105,0.9057110466368399,0.740558025018328,262993.1746926276,70720.2305127679,33628.13296458335,192272.94417985974
106,0.9100137361600648,0.7483078650305008,258848.9061834282,67422.0609925495,32059.822420889395,191426.8451908787
107,0.9142961773954871,0.7562442587929483,255681.31235662464,64127.37150859528,30493.166667081805,191553.94084802936
108,0.9185586535436918,0.7643788841313687,253634.7415842713,60849.59549573885,28934.553427429575,192785.14608853246
109,0.9228014412645875,0.7727241124282179,252814.88054477214,57695.36609704276,27434.68776167782,195119.5144477294
110,0.9270248108869579,0.7813110964852208,253372.91587040777,54712.52105278595,26016.316964047197,198660.3948176218
111,0.9312290266094587,0.7901460167736819,255275.41819824578,51765.72120602209,24615.085995928413,203509.69699222367
112,0.9354143466934853,0.7992400303925538,258453.66852879364,49494.20680411555,23534.959591016766,208959.4617246781
113,0.9395810236483068,0.8086108817458978,262797.16962760873,48586.134177704094,23103.162539436882,214211.03544990462
114,0.9437293044088437,0.818278312995923,268130.99478759937,49246.686904392875,23417.261556961974,218884.30788320652
115,0.9478594305064438,0.8282646362600868,274139.50658377307,52260.42669110086,24850.32309442082,221879.07989267222
116,0.9519716382329886,0.8385954228836222,280536.35535713646,58444.085069600784,27790.710656113122,222092.2702875357
117,0.9560661587986472,0.8493007844114995,286674.49698516645,69064.49988398621,32840.81751984435,217609.99710118026
118,0.960143218483576,0.8604163621404614,296789.7231319357,86093.09565568756,40938.07453751669,210696.62747624816
119,0.9642030387838445,0.8719798846690042,329512.89035863325,112253.40296733864,53377.54604788935,217259.48739129462
120,0.9682458365518543,0.8840176077751785,419499.4113385103,152928.9244813759,72719.13806420586,266570.48685713444
121,0.9722718241315028,0.896572255500368,544489.9554637177,207023.89656145847,98441.80469912325,337466.0589022593
122,0.9762812094883317,0.9095251279550033,635753.0154290609,252607.9539326031,120117.45155756066,383145.06149645784
123,0.9802741963348827,0.9228432501063687,661082.2180096493,264213.44558802655,125635.97169922624,396868.77242162277
124,0.9842509842514764,0.9365728671155965,594620.1192490765,228548.40635725742,108676.91100692753,366071.7128918191
125,0.9882117688026185,0.9508428209084214,447061.3054617926,158625.3071499965,75427.8214552044,288435.9983117961
126,0.9921567416492215,0.9658681908403554,281099.1645122869,85269.7312192522,40546.55702483326,195829.43329303467
127,0.9960860906568267,0.9820231469606799,170149.53435056825,36801.58492883218,17499.498832526333,133347.94942173606
128,1.0,1.0,93945.387741,13175.400270337464,6265.0264138,80769.98747066254
