   FROM CHEASE,SI UNITS,COCOS=2, IP,B0>020260924   3 513 513
 1.356582998E+00 2.546706524E+00 8.500000000E-01 1.498580280E-01-8.045780290E-03
 9.444444004E-01-8.045780290E-03-6.949544239E-02 0.000000000E+00 -4.75509380E-01
 7.535706096E+05-6.949544239E-02 0.000000000E+00 9.444444004E-01 0.000000000E+00
-5.178910909E-01-5.239646226E-01-5.294323905E-01-5.345022969E-01-5.399242846E-01
-5.450571748E-01-5.498757344E-01-5.544416440E-01-5.589168331E-01-5.631938880E-01
-5.672793557E-01-5.711898682E-01-5.748594577E-01-5.783876147E-01-5.817956431E-01
-5.850433884E-01-5.880472035E-01-5.909104270E-01-5.937029921E-01-5.963595483E-01
-5.987731362E-01-6.010522519E-01-6.033047834E-01-6.054164819E-01-6.073166367E-01
-6.090923557E-01-6.108528182E-01-6.125510701E-01-6.139396348E-01-6.152687271E-01
-6.166103423E-01-6.178261541E-01-6.188577668E-01-6.198092977E-01-6.207502115E-01
-6.215919417E-01-6.222828999E-01-6.228831759E-01-6.234822828E-01-6.239938468E-01
-6.243717284E-01-6.246680033E-01-6.249716073E-01-6.251906000E-01-6.252827161E-01
-6.253135029E-01-6.253598959E-01-6.253424954E-01-6.251687777E-01-6.249592598E-01
-6.247538713E-01-6.245077595E-01-6.241475228E-01-6.237235911E-01-6.233200916E-01
-6.228541784E-01-6.222989103E-01-6.217085215E-01-6.211096632E-01-6.204853556E-01
-6.197697182E-01-6.190016570E-01-6.182573360E-01-6.174658361E-01-6.165873846E-01
-6.156917480E-01-6.147910882E-01-6.138510592E-01-6.128645520E-01-6.118412399E-01
-6.108079230E-01-6.097612588E-01-6.086556873E-01-6.075085007E-01-6.063784601E-01
-6.052307408E-01-6.040075613E-01-6.027587769E-01-6.015330556E-01-6.002789050E-01
-5.989646713E-01-5.976398285E-01-5.963244662E-01-5.949770752E-01-5.935879544E-01
-5.921930530E-01-5.907975250E-01-5.893720073E-01-5.879155998E-01-5.864547188E-01
-5.849896791E-01-5.834976132E-01-5.819797080E-01-5.804584105E-01-5.789337319E-01
-5.773845429E-01-5.758106790E-01-5.742344523E-01-5.726588604E-01-5.710617963E-01
-5.694380324E-01-5.678109470E-01-5.661907549E-01-5.645553749E-01-5.628902168E-01
-5.612145969E-01-5.595472100E-01-5.578755793E-01-5.561814331E-01-5.544706807E-01
-5.527595370E-01-5.510490283E-01-5.493284269E-01-5.475937634E-01-5.458506465E-01
-5.441035978E-01-5.423526896E-01-5.405969298E-01-5.388333472E-01-5.370588002E-01
-5.352766647E-01-5.334949090E-01-5.317146579E-01-5.299261068E-01-5.281221907E-01
-5.263099303E-01-5.244988566E-01-5.226890117E-01-5.208744532E-01-5.190520347E-01
-5.172233029E-01-5.153902788E-01-5.135552819E-01-5.117205078E-01-5.098843788E-01
-5.080418498E-01-5.061902189E-01-5.043338679E-01-5.024779841E-01-5.006228501E-01
-4.987655757E-01-4.969041544E-01-4.950386273E-01-4.931694156E-01-4.912979642E-01
-4.894262816E-01-4.875550659E-01-4.856821453E-01-4.838052257E-01-4.819246015E-01
-4.800421817E-01-4.781595277E-01-4.762772290E-01-4.743956298E-01-4.725137671E-01
-4.706295577E-01-4.687415347E-01-4.668510430E-01-4.649601733E-01-4.630701090E-01
-4.611807114E-01-4.592916733E-01-4.574020588E-01-4.555105868E-01-4.536165543E-01
-4.517211576E-01-4.498259534E-01-4.479317682E-01-4.460384534E-01-4.441457627E-01
-4.422531117E-01-4.403597151E-01-4.384650650E-01-4.365698508E-01-4.346750788E-01
-4.327813964E-01-4.308887273E-01-4.289969010E-01-4.271055812E-01-4.252142514E-01
-4.233224245E-01-4.214299575E-01-4.195369182E-01-4.176433839E-01-4.157494720E-01
-4.138553131E-01-4.119609563E-01-4.100661795E-01-4.081707063E-01-4.062742486E-01
-4.043764878E-01-4.024771127E-01-4.005762128E-01-3.986744771E-01-3.967726220E-01
-3.948709912E-01-3.929695141E-01-3.910680945E-01-3.891665424E-01-3.872645865E-01
-3.853619643E-01-3.834585331E-01-3.815542379E-01-3.796490329E-01-3.777429460E-01
-3.758360528E-01-3.739284264E-01-3.720201180E-01-3.701111651E-01-3.682015750E-01
-3.662910423E-01-3.643790798E-01-3.624652647E-01-3.605498444E-01-3.586334749E-01
-3.567167809E-01-3.548000179E-01-3.528831910E-01-3.509663132E-01-3.490495946E-01
-3.471333990E-01-3.452180556E-01-3.433031326E-01-3.413874665E-01-3.394699408E-01
-3.375517446E-01-3.356369491E-01-3.337296616E-01-3.318256410E-01-3.299062336E-01
-3.279516227E-01-3.259674636E-01-3.240246297E-01-3.222035280E-01-3.205600032E-01
-3.190505225E-01-3.176062524E-01-3.162223851E-01-3.153605983E-01-3.156856722E-01
-3.177971244E-01-3.213999573E-01-3.255111385E-01-3.291485263E-01-3.316897542E-01
-3.330107691E-01-3.330261965E-01-3.317353507E-01-3.293713676E-01-3.262051739E-01
-3.225003804E-01-3.184916168E-01-3.144007648E-01-3.104385299E-01-3.066634483E-01
-3.030061797E-01-2.993943554E-01-2.957841651E-01-2.921859609E-01-2.886161199E-01
-2.850886494E-01-2.816062475E-01-2.781680322E-01-2.747731881E-01-2.714219189E-01
-2.681152763E-01-2.648543245E-01-2.616395250E-01-2.584699836E-01-2.553446274E-01
-2.522624008E-01-2.492223047E-01-2.462233711E-01-2.432646507E-01-2.403456007E-01
-2.374662281E-01-2.346265789E-01-2.318265731E-01-2.290655310E-01-2.263426007E-01
-2.236570173E-01-2.210100104E-01-2.184048819E-01-2.158449978E-01-2.133323827E-01
-2.108638283E-01-2.084348600E-01-2.060412522E-01-2.036835241E-01-2.013668968E-01
-1.990967437E-01-1.968737778E-01-1.946789498E-01-1.924881061E-01-1.902789362E-01
-1.880810865E-01-1.859855323E-01-1.840859497E-01-1.824716022E-01-1.812100833E-01
-1.803606400E-01-1.799813668E-01-1.800795821E-01-1.805731551E-01-1.813715268E-01
-1.823787348E-01-1.834287592E-01-1.843123472E-01-1.848215523E-01-1.848045903E-01
-1.842998853E-01-1.833865896E-01-1.821433560E-01-1.806579495E-01-1.790302250E-01
-1.773599769E-01-1.757380696E-01-1.741789675E-01-1.726554394E-01-1.711400731E-01
-1.696121977E-01-1.680747835E-01-1.665360704E-01-1.650041671E-01-1.634834385E-01
-1.619723280E-01-1.604687638E-01-1.589707839E-01-1.574778892E-01-1.559907366E-01
-1.545100097E-01-1.530363243E-01-1.515698817E-01-1.501107131E-01-1.486588490E-01
-1.472143569E-01-1.457774313E-01-1.443482918E-01-1.429271563E-01-1.415142394E-01
-1.401097516E-01-1.387139015E-01-1.373268965E-01-1.359489732E-01-1.345804023E-01
-1.332214540E-01-1.318723964E-01-1.305334995E-01-1.292050339E-01-1.278872679E-01
