# rhot j_driven_a_per_m2 j_bootstrap_lagged_a_per_m2 j_total_target_a_per_m2
0.6711781349 2.2946113715e+05 9.8934261394e+04 3.2839539854e+05
0.6775751322 2.2458463728e+05 9.6600914088e+04 3.2118555137e+05
0.6840734710 2.1978072250e+05 9.4202582764e+04 3.1398330526e+05
0.6906794273 2.1511642202e+05 9.1706124141e+04 3.0682254617e+05
0.6973996999 2.1065871703e+05 8.9087077702e+04 2.9974579473e+05
0.7042414398 2.0647619710e+05 8.6329219019e+04 2.9280541612e+05
0.7112122824 2.0265540968e+05 8.3410761771e+04 2.8606617145e+05
0.7183203804 1.9924463306e+05 8.0363045669e+04 2.7960767873e+05
0.7255744289 1.9630874677e+05 7.7217951994e+04 2.7352669877e+05
0.7329836930 1.9394637920e+05 7.3994668033e+04 2.6794104723e+05
0.7405580250 1.9227294418e+05 7.0720230513e+04 2.6299317469e+05
0.7483078650 1.9142684519e+05 6.7422060993e+04 2.5884890618e+05
0.7562442588 1.9155394085e+05 6.4127371509e+04 2.5568131236e+05
0.7643788841 1.9278514609e+05 6.0849595496e+04 2.5363474158e+05
0.7727241124 1.9511951445e+05 5.7695366097e+04 2.5281488054e+05
0.7813110965 1.9866039482e+05 5.4712521053e+04 2.5337291587e+05
0.7901460168 2.0350969699e+05 5.1765721206e+04 2.5527541820e+05
0.7992400304 2.0895946172e+05 4.9494206804e+04 2.5845366853e+05
0.8086108817 2.1421103545e+05 4.8586134178e+04 2.6279716963e+05
0.8182783130 2.1888430788e+05 4.9246686904e+04 2.6813099479e+05
0.8282646363 2.2187907989e+05 5.2260426691e+04 2.7413950658e+05
0.8385954229 2.2209227029e+05 5.8444085070e+04 2.8053635536e+05
0.8493007844 2.1760999710e+05 6.9064499884e+04 2.8667449699e+05
0.8604163621 2.1069662748e+05 8.6093095656e+04 2.9678972313e+05
0.8719798847 2.1725948739e+05 1.1225340297e+05 3.2951289036e+05
0.8840176078 2.6657048686e+05 1.5292892448e+05 4.1949941134e+05
0.8965722555 3.3746605890e+05 2.0702389656e+05 5.4448995546e+05
0.9095251280 3.8314506150e+05 2.5260795393e+05 6.3575301543e+05
0.9228432501 3.9686877242e+05 2.6421344559e+05 6.6108221801e+05
0.9365728671 3.6607171289e+05 2.2854840636e+05 5.9462011925e+05
0.9508428209 2.8843599831e+05 1.5862530715e+05 4.4706130546e+05
0.9658681908 1.9582943329e+05 8.5269731219e+04 2.8109916451e+05
0.9820231470 1.3334794942e+05 3.6801584929e+04 1.7014953435e+05
1.0000000000 8.0769987471e+04 1.3175400270e+04 9.3945387741e+04
