#psi, P, q
7.187499999999998890e-01 6.914247368999999708e+03 2.405922866000000049e+00
7.207031249999998890e-01 6.865204893000000084e+03 2.419402605000000150e+00
7.226562500000000000e-01 6.816293104999999741e+03 2.433056978999999842e+00
7.246093750000000000e-01 6.767517232999999578e+03 2.446889081000000132e+00
7.265625000000000000e-01 6.718883002999999917e+03 2.460902177999999996e+00
7.285156250000000000e-01 6.670396193999999923e+03 2.475099549999999926e+00
7.304687500000000000e-01 6.622062544000000344e+03 2.489484449999999960e+00
7.324218750000000000e-01 6.573887953999999809e+03 2.504060207000000204e+00
7.343750000000001110e-01 6.525878883000000314e+03 2.518830420000000014e+00
7.363281250000001110e-01 6.478041849000000184e+03 2.533798709000000038e+00
7.382812499999998890e-01 6.430383315000000039e+03 2.548968668000000104e+00
7.402343750000000000e-01 6.382909942000000228e+03 2.564343983000000105e+00
7.421875000000000000e-01 6.335629028000000289e+03 2.579928653000000072e+00
7.441406250000000000e-01 6.288547929000000295e+03 2.595726701999999886e+00
7.460937500000000000e-01 6.241673941000000013e+03 2.611742122999999971e+00
7.480468750000000000e-01 6.195014583000000130e+03 2.627978966000000138e+00
7.500000000000000000e-01 6.148578099000000293e+03 2.644441500000000111e+00
7.519531250000001110e-01 6.102372806999999739e+03 2.661134005000000080e+00
