#psi, P, q
4.179687500000000000e-01 1.434003339000000051e+04 1.396016892000000009e+00
4.199218750000000000e-01 1.429949802000000091e+04 1.399088950000000109e+00
4.218750000000000555e-01 1.425881062000000020e+04 1.402184316000000042e+00
4.238281249999999445e-01 1.421797141000000011e+04 1.405303278000000100e+00
4.257812500000000000e-01 1.417698072999999931e+04 1.408446109000000002e+00
4.277343750000000000e-01 1.413583895999999913e+04 1.411613074999999995e+00
4.296875000000000000e-01 1.409454651000000013e+04 1.414804439999999941e+00
4.316406250000000555e-01 1.405310354999999981e+04 1.418020497000000102e+00
4.335937500000000000e-01 1.401151013000000057e+04 1.421261561999999978e+00
4.355468750000000000e-01 1.396976633000000038e+04 1.424527937999999994e+00
4.375000000000000000e-01 1.392787275000000045e+04 1.427819885999999983e+00
4.394531250000000000e-01 1.388583043999999973e+04 1.431137622999999914e+00
4.414062499999999445e-01 1.384364036999999917e+04 1.434481364000000037e+00
4.433593750000000000e-01 1.380130208999999923e+04 1.437851290000000004e+00
4.453125000000000000e-01 1.375881378000000041e+04 1.441247546999999907e+00
4.472656250000000000e-01 1.371617372000000069e+04 1.444670281999999917e+00
4.492187500000000555e-01 1.367338379999999961e+04 1.448119624000000050e+00
4.511718749999999445e-01 1.363045044000000053e+04 1.451595688000000051e+00
4.531250000000000000e-01 1.358738020999999935e+04 1.455098589000000109e+00
4.550781250000000000e-01 1.354417194999999992e+04 1.458628462999999931e+00
4.570312500000000000e-01 1.350081119000000035e+04 1.462185489999999977e+00
4.589843750000000555e-01 1.345728234999999950e+04 1.465769853000000067e+00
4.609375000000000000e-01 1.341358358000000044e+04 1.469381524999999966e+00
4.628906250000000000e-01 1.336974814999999944e+04 1.473019942000000082e+00
4.648437500000000000e-01 1.332581447999999909e+04 1.476684459999999977e+00
4.667968750000000000e-01 1.328181163000000015e+04 1.480374510000000088e+00
4.687499999999999445e-01 1.323773090000000047e+04 1.484089798999999932e+00
4.707031250000000000e-01 1.319355391000000054e+04 1.487830108000000040e+00
4.726562500000000000e-01 1.314929111000000012e+04 1.491595079000000101e+00
4.746093750000000000e-01 1.310516402000000016e+04 1.495383300000000082e+00
4.765625000000000555e-01 1.306148591999999917e+04 1.499192901000000022e+00
4.785156249999999445e-01 1.301856238999999914e+04 1.503022059999999938e+00
4.804687500000000000e-01 1.297662925999999970e+04 1.506869352000000051e+00
4.824218750000000000e-01 1.293586804999999913e+04 1.510733668000000085e+00
4.843750000000000000e-01 1.289645198999999957e+04 1.514613951000000069e+00
4.863281250000000555e-01 1.285832926000000043e+04 1.518510897999999942e+00
