   FROM CHEASE,SI UNITS,COCOS=2, IP,B0>020260925   3 513 513
 1.361945010E+00 2.443413960E+00 8.500000240E-01 1.427304047E-01-6.323755147E-03
 9.430445796E-01-6.323755147E-03-6.864468261E-02 0.000000000E+00 -4.87488985E-01
 7.440705163E+05-6.864468261E-02 0.000000000E+00 9.430445796E-01 0.000000000E+00
 8.634448848E-03 8.897377901E-03 9.163305927E-03 9.432198641E-03 9.704020336E-03
 9.978734248E-03 1.025630240E-02 1.053668537E-02 1.081984254E-02 1.110573232E-02
 1.139431171E-02 1.168553693E-02 1.197936649E-02 1.227576131E-02 1.257468181E-02
 1.287608727E-02 1.317993579E-02 1.348618444E-02 1.379478928E-02 1.410570525E-02
 1.441888601E-02 1.473428385E-02 1.505185254E-02 1.537155658E-02 1.569336911E-02
 1.601726464E-02 1.634321751E-02 1.667120185E-02 1.700119196E-02 1.733316249E-02
 1.766708809E-02 1.800294324E-02 1.834070271E-02 1.868034165E-02 1.902183533E-02
 1.936515936E-02 1.971028965E-02 2.005720122E-02 2.040586683E-02 2.075625868E-02
 2.110834932E-02 2.146211204E-02 2.181752093E-02 2.217455049E-02 2.253317466E-02
 2.289336468E-02 2.325509042E-02 2.361832175E-02 2.398302862E-02 2.434918081E-02
 2.471674811E-02 2.508570063E-02 2.545600944E-02 2.582764674E-02 2.620058501E-02
 2.657479689E-02 2.695025539E-02 2.732693560E-02 2.770481645E-02 2.808387936E-02
 2.846410834E-02 2.884548848E-02 2.922800582E-02 2.961164986E-02 2.999641395E-02
 3.038229283E-02 3.076928178E-02 3.115737624E-02 3.154657197E-02 3.193686551E-02
 3.232825420E-02 3.272073632E-02 3.311431096E-02 3.350897799E-02 3.390473817E-02
 3.430159314E-02 3.469954548E-02 3.509859812E-02 3.549875220E-02 3.590000703E-02
 3.630236219E-02 3.670581796E-02 3.711037513E-02 3.751603502E-02 3.792279961E-02
 3.833067116E-02 3.873965167E-02 3.914974335E-02 3.956094900E-02 3.997327192E-02
 4.038671584E-02 4.080128502E-02 4.121698424E-02 4.163381816E-02 4.205179107E-02
 4.247090766E-02 4.289117324E-02 4.331259150E-02 4.373515928E-02 4.415886858E-02
 4.458371085E-02 4.500967735E-02 4.543675916E-02 4.586494747E-02 4.629423295E-02
 4.672460386E-02 4.715604710E-02 4.758854950E-02 4.802209813E-02 4.845668050E-02
 4.889228438E-02 4.932889761E-02 4.976650760E-02 5.020510061E-02 5.064466241E-02
 5.108517884E-02 5.152663578E-02 5.196901922E-02 5.241231515E-02 5.285650965E-02
 5.330158984E-02 5.374754498E-02 5.419436512E-02 5.464204041E-02 5.509056102E-02
 5.553991714E-02 5.599009899E-02 5.644109694E-02 5.689290258E-02 5.734550987E-02
 5.779891364E-02 5.825310891E-02 5.870809121E-02 5.916385720E-02 5.962040402E-02
 6.007772903E-02 6.053582923E-02 6.099470067E-02 6.145433911E-02 6.191474042E-02
 6.237590065E-02 6.283781586E-02 6.330048224E-02 6.376389617E-02 6.422805362E-02
 6.469294894E-02 6.515857738E-02 6.562494011E-02 6.609204145E-02 6.655988436E-02
 6.702847053E-02 6.749780171E-02 6.796787995E-02 6.843870761E-02 6.891028731E-02
 6.938262194E-02 6.985571458E-02 7.032956789E-02 7.080418378E-02 7.127956411E-02
 7.175571095E-02 7.223262677E-02 7.271031472E-02 7.318877832E-02 7.366802128E-02
 7.414804767E-02 7.462886244E-02 7.511047122E-02 7.559287990E-02 7.607609453E-02
 7.656012151E-02 7.704496758E-02 7.753063967E-02 7.801714492E-02 7.850449145E-02
 7.899268940E-02 7.948174983E-02 7.997168404E-02 8.046250348E-02 8.095421970E-02
 8.144684437E-02 8.194038935E-02 8.243486669E-02 8.293028912E-02 8.342667030E-02
 8.392402431E-02 8.442236545E-02 8.492170820E-02 8.542206725E-02 8.592345751E-02
 8.642589414E-02 8.692939239E-02 8.743396673E-02 8.793962998E-02 8.844639455E-02
 8.895427300E-02 8.946327810E-02 8.997342291E-02 9.048472073E-02 9.099718510E-02
 9.151082970E-02 9.202566721E-02 9.254170769E-02 9.305895999E-02 9.357743297E-02
 9.409713579E-02 9.461807790E-02 9.514026609E-02 9.566369767E-02 9.618836325E-02
 9.671425239E-02 9.724135371E-02 9.776965458E-02 9.829914213E-02 9.882980344E-02
 9.936162546E-02 9.989459481E-02 1.004286979E-01 1.009639209E-01 1.015002501E-01
 1.020376719E-01 1.025761730E-01 1.031157405E-01 1.036563613E-01 1.041980224E-01
 1.047407105E-01 1.052844123E-01 1.058291143E-01 1.063748030E-01 1.069214647E-01
 1.074690868E-01 1.080176584E-01 1.085671691E-01 1.091176088E-01 1.096689671E-01
 1.102212339E-01 1.107743994E-01 1.113284540E-01 1.118833880E-01 1.124391916E-01
 1.129958556E-01 1.135533715E-01 1.141117314E-01 1.146709273E-01 1.152309513E-01
 1.157917955E-01 1.163534524E-01 1.169159148E-01 1.174791757E-01 1.180432278E-01
 1.186080639E-01 1.191736762E-01 1.197400567E-01 1.203071972E-01 1.208750885E-01
 1.214437247E-01 1.220131213E-01 1.225831716E-01 1.383889681E-02 1.369138821E-02
 1.354417118E-02 1.339729101E-02 1.325073816E-02 1.310451277E-02 1.295861648E-02
 1.281305063E-02 1.266781657E-02 1.252291578E-02 1.237834982E-02 1.223412033E-02
 1.209022908E-02 1.194667798E-02 1.180346900E-02 1.166060421E-02 1.151808578E-02
 1.137591595E-02 1.123409709E-02 1.109263163E-02 1.095152213E-02 1.081077122E-02
 1.067038163E-02 1.053035623E-02 1.039069801E-02 1.025141013E-02 1.011249590E-02
 9.973958694E-03 9.835802021E-03 9.698029479E-03 9.560644773E-03 9.423651741E-03
 9.287054387E-03 9.150856573E-03 9.015061247E-03 8.879670194E-03 8.744684969E-03
 8.610107437E-03 8.475939770E-03 8.342184386E-03 8.208843945E-03 8.075921354E-03
 7.943419758E-03 7.811342551E-03 7.679693379E-03 7.548476151E-03 7.417695045E-03
 7.287354480E-03 7.157459059E-03 7.028013580E-03 6.899023092E-03 6.770492934E-03
 6.642428728E-03 6.514836380E-03 6.387722075E-03 6.261092281E-03 6.134953763E-03
 6.009313601E-03 5.884179162E-03 5.759557901E-03 5.635457169E-03 5.511884425E-03
 5.388847419E-03 5.266354282E-03 5.144413745E-03 5.023034538E-03 4.902221830E-03
 4.781973990E-03 4.662286981E-03 4.543158041E-03 4.424585907E-03 4.306570149E-03
 4.189111365E-03 4.072211646E-03 3.955874714E-03 3.840105922E-03 3.724912262E-03
 3.610302395E-03 3.496286658E-03 3.382877105E-03 3.270087525E-03 3.157933183E-03
 3.046430340E-03 2.935596489E-03 2.825450862E-03 2.716014583E-03 2.607310669E-03
 2.499364072E-03 2.392201722E-03 2.285852514E-03 2.180347332E-03 2.075719025E-03
 1.972002151E-03 1.869233623E-03 1.767455862E-03 1.666717592E-03 1.567069580E-03
 1.468562612E-03 1.371247656E-03 1.275175957E-03 1.180398903E-03 1.086967931E-03
 9.949347463E-04 9.043522484E-04 8.152748752E-04 7.277575244E-04 6.418550031E-04
 5.576220661E-04 4.751136680E-04 3.943851757E-04 3.154924623E-04 2.384910801E-04
 1.634274544E-04 9.036394031E-05 1.950429107E-05-4.915889586E-05-1.166600017E-04
-1.836061463E-04-2.499700319E-04-3.156804346E-04-3.807098922E-04-4.450359211E-04
-5.086395908E-04-5.715047688E-04-6.336103534E-04-6.949308005E-04-7.554427816E-04
-8.151267134E-04-8.739656419E-04-9.319432580E-04-9.890435074E-04-1.045251971E-03
-1.100556210E-03-1.154941638E-03-1.208378152E-03-1.260819480E-03-1.312215798E-03
-1.362517371E-03-1.411673008E-03-1.459629442E-03-1.506340282E-03-1.551774299E-03
-1.595911588E-03-1.638735525E-03-1.680216746E-03-1.720316613E-03-1.759001100E-03
-1.796244597E-03-1.832028147E-03-1.866336274E-03-1.899156703E-03-1.930480323E-03
-1.960301020E-03-1.988615792E-03-2.015424332E-03-2.040725792E-03-2.064516380E-03
-2.086786592E-03-2.107515194E-03-2.126659147E-03-2.144128066E-03-2.159790689E-03
-2.173537393E-03-2.185330357E-03-2.195152673E-03-2.202975528E-03-2.208754761E-03
-2.212424437E-03-2.213899316E-03-2.213078736E-03-2.209865930E-03-2.204244057E-03
-2.196280472E-03-2.186050582E-03-2.173621382E-03-2.159071906E-03-2.142498568E-03
-2.123996960E-03-2.103641294E-03-2.081414868E-03-2.057194571E-03-2.030833987E-03
-2.002194029E-03-1.971160392E-03-1.937647625E-03-1.901586806E-03-1.862919776E-03
-1.821590558E-03-1.777554693E-03-1.730794035E-03-1.681295969E-03-1.629005562E-03
-1.573859096E-03-1.515819795E-03-1.454891830E-03-1.391130793E-03-1.324630651E-03
-1.255505585E-03-1.183829329E-03-1.109625811E-03-1.032935035E-03-9.538053231E-04
-8.722798543E-04-7.883953050E-04-7.021800214E-04-6.136498072E-04-5.227920282E-04
-4.295910134E-04-3.340854346E-04-2.362086836E-04-1.356909646E-04-3.219119883E-05
 7.537173403E-05 1.877390901E-04 3.048912824E-04 4.268385016E-04 5.534302562E-04
 6.845040670E-04 8.199550509E-04 9.596630879E-04 1.103495936E-03 1.251311145E-03
 1.402969298E-03 1.558359632E-03 1.717382521E-03 1.879942816E-03 2.045954092E-03
 2.215339249E-03 2.388030009E-03 2.563967486E-03 2.743101552E-03 2.925386638E-03
 3.110781110E-03 3.299251382E-03 3.490770256E-03 3.685310444E-03 3.882847966E-03
 4.083366491E-03 4.286858610E-03 4.493326423E-03 4.702780844E-03 4.915239845E-03
 5.130723190E-03 5.349253064E-03 5.570858577E-03 5.795577233E-03 6.023456623E-03
 6.254551472E-03 6.488899147E-03 6.726494382E-03 6.967315586E-03 7.211339728E-03
 7.458542526E-03 7.708897215E-03 7.962374859E-03 8.218944896E-03 8.478575626E-03
 8.741234585E-03 9.006887998E-03 9.275500619E-03 9.547036063E-03 9.821456793E-03
 1.009872383E-02 1.037879687E-02 1.066163469E-02 1.094719467E-02 1.123543315E-02
 1.152630822E-02 1.181978083E-02 1.211581172E-02 1.241436052E-02 1.271538564E-02
 1.301884442E-02 1.332469320E-02 1.363288720E-02 1.394338036E-02 1.425612520E-02
 1.457107504E-02 1.488819278E-02 1.520745085E-02 1.552882346E-02 1.585228472E-02
 1.617780848E-02 1.650536873E-02 1.683493984E-02 1.716649618E-02 1.750001196E-02
 1.783546165E-02 1.817282010E-02 1.851206232E-02 1.885316359E-02 1.919609957E-02
 1.954084509E-02 1.988737267E-02 2.023565422E-02 2.058566195E-02 2.093736884E-02
 2.129074867E-02 2.164577564E-02 2.200242342E-02 2.236066295E-02 2.272046377E-02
 2.308179544E-02 2.344462755E-02 2.380892954E-02 2.417467088E-02 2.454182132E-02
 2.491035167E-02 2.528023380E-02 2.565143988E-02 2.602394223E-02 2.639771360E-02
 2.677272891E-02 2.714896686E-02 2.752640868E-02 2.790503816E-02 2.828484011E-02
 2.866580041E-02 2.904790861E-02 2.943115799E-02 2.981554313E-02 3.020105912E-02
 3.058770116E-02 3.097546488E-02 3.136434666E-02 3.175434376E-02 3.214545432E-02
 3.253767735E-02 3.293101263E-02 3.332546084E-02 3.372102358E-02 3.411770336E-02
 3.451550288E-02 3.491442270E-02 3.531446192E-02 3.571562003E-02 3.611789720E-02
 3.652129412E-02 3.692581205E-02 3.733145289E-02 3.773821871E-02 3.814611132E-02
 3.855513286E-02 3.896528608E-02 3.937657420E-02 3.978900088E-02 4.020257037E-02
 4.061728735E-02 4.103315621E-02 4.145018113E-02 4.186836681E-02 4.228771838E-02
 4.270823829E-02 4.312992159E-02 4.355275983E-02 4.397674436E-02 4.440186626E-02
 4.482811648E-02 4.525548611E-02 4.568396521E-02 4.611354133E-02 4.654420112E-02
 4.697593132E-02 4.740871894E-02 4.784255144E-02 4.827741649E-02 4.871330174E-02
 4.915019412E-02 4.958807949E-02 5.002694345E-02 5.046677168E-02 5.090754993E-02
 5.134926404E-02 5.179189981E-02 5.223544334E-02 5.267988231E-02 5.312520628E-02
 5.357140522E-02 5.401846916E-02 5.446638814E-02 5.491515224E-02 5.536475157E-02
 5.581517659E-02 5.626641969E-02 5.671847524E-02 5.717133806E-02 5.762500320E-02
 5.807946654E-02 5.853472493E-02 5.899077556E-02 5.944761567E-02 5.990524182E-02
 6.036364974E-02 6.082283515E-02 6.128279392E-02 6.174352203E-02 6.220501550E-02
 6.266727052E-02 6.313028337E-02 6.359404926E-02 6.405856223E-02 6.452381974E-02
 6.498982503E-02 6.545658202E-02 6.592409273E-02 6.639235867E-02 6.686138163E-02
 6.733116368E-02 6.780170719E-02 6.827301483E-02 6.874508949E-02 6.921793405E-02
 6.969155063E-02 7.016594094E-02 7.064110680E-02 7.111705037E-02 7.159377434E-02
 7.207128201E-02 7.254957691E-02 7.302866280E-02 7.350854410E-02 7.398922611E-02
 7.447071455E-02 7.495301534E-02 7.543613464E-02 7.592007898E-02 7.640485517E-02
 7.689047017E-02 7.737693145E-02 7.786424830E-02 7.835243151E-02 7.884149229E-02
 7.933144203E-02 7.982229223E-02 8.031405450E-02 8.080674060E-02 8.130036250E-02
 8.179493259E-02 8.229046420E-02 8.278697134E-02 8.328446825E-02 8.378296935E-02
 8.428248929E-02 8.478304294E-02 8.528464537E-02 8.578731190E-02 8.629105747E-02
 8.679589541E-02 8.730183815E-02 8.780889820E-02 8.831708828E-02 8.882642136E-02
 8.933691070E-02 8.984856978E-02 9.036141230E-02 9.087545150E-02 9.139069824E-02
 9.190716150E-02 9.242485007E-02 9.294377301E-02 9.346393975E-02 9.398535844E-02
 9.450802932E-02 9.503194396E-02 9.555709196E-02 9.608346221E-02 9.661104224E-02
 9.713981909E-02 9.766977976E-02 9.820091116E-02 9.873319990E-02 9.926663229E-02
 9.980119453E-02 1.003368727E-01 1.008736531E-01 1.014115222E-01 1.019504670E-01
 1.024904744E-01 1.030315311E-01 1.035736240E-01 1.041167396E-01 1.046608643E-01
 1.052059844E-01 1.057520864E-01 1.062991570E-01 1.068471851E-01 1.073961602E-01
 1.079460722E-01 1.084969106E-01 1.090486651E-01 1.096013258E-01 1.101548830E-01
 1.107093269E-01 1.112646479E-01 1.118208364E-01 1.123778837E-01 1.129357820E-01
 1.134945232E-01 1.140540992E-01 1.146145021E-01 1.151757243E-01 1.157377586E-01
 1.163005979E-01 1.168642348E-01 1.174286622E-01 1.179938722E-01 1.185598567E-01
 1.191266075E-01 1.196941164E-01 1.202623741E-01 1.208313747E-01 1.214011336E-01
 1.219715444E-01 1.378845154E-02 1.364072202E-02 1.349328569E-02 1.334618804E-02
 1.319941941E-02 1.305297989E-02 1.290687110E-02 1.276109430E-02 1.261565081E-02
 1.247054207E-02 1.232576957E-02 1.218133491E-02 1.203723978E-02 1.189348597E-02
 1.175007542E-02 1.160701016E-02 1.146429229E-02 1.132192404E-02 1.117990771E-02
 1.103824570E-02 1.089694051E-02 1.075599474E-02 1.061541108E-02 1.047519234E-02
 1.033534141E-02 1.019586135E-02 1.005675536E-02 9.918026818E-03 9.779679173E-03
 9.641715996E-03 9.504140963E-03 9.366957853E-03 9.230170570E-03 9.093783190E-03
 8.957799764E-03 8.822223640E-03 8.687056914E-03 8.552301277E-03 8.417958671E-03
 8.284031367E-03 8.150521896E-03 8.017433036E-03 7.884767812E-03 7.752529501E-03
 7.620721625E-03 7.489347965E-03 7.358412569E-03 7.227919758E-03 7.097874108E-03
 6.968280393E-03 6.839143573E-03 6.710468863E-03 6.582261766E-03 6.454528078E-03
 6.327273883E-03 6.200505550E-03 6.074229738E-03 5.948453404E-03 5.823183827E-03
 5.698428586E-03 5.574195382E-03 5.450491815E-03 5.327325569E-03 5.204704616E-03
 5.082637301E-03 4.961132554E-03 4.840199457E-03 4.719843963E-03 4.600065409E-03
 4.480860470E-03 4.362226990E-03 4.244164373E-03 4.126672902E-03 4.009753887E-03
 3.893410143E-03 3.777646149E-03 3.662468045E-03 3.547883641E-03 3.433902450E-03
 3.320535692E-03 3.207796338E-03 3.095699124E-03 2.984260300E-03 2.873497134E-03
 2.763428156E-03 2.654073672E-03 2.545455911E-03 2.437599032E-03 2.330529171E-03
 2.224274475E-03 2.118865094E-03 2.014333206E-03 1.910712985E-03 1.808040355E-03
 1.706353700E-03 1.605696847E-03 1.506119384E-03 1.407672630E-03 1.310407915E-03
 1.214376779E-03 1.119631030E-03 1.026222610E-03 9.342035110E-04 8.436260498E-04
 7.545438514E-04 6.670120159E-04 5.810860185E-04 4.968212200E-04 4.142729208E-04
 3.334969491E-04 2.545496853E-04 1.774801299E-04 1.023451805E-04 2.933074005E-05
-4.151543991E-05-1.111202343E-04-1.801793088E-04-2.487167514E-04-3.166527814E-04
-3.839483604E-04-4.505724135E-04-5.164976767E-04-5.817022916E-04-6.461697431E-04
-7.098847627E-04-7.728254404E-04-8.349664251E-04-8.962851712E-04-9.567626454E-04
-1.016381854E-03-1.075126052E-03-1.132978775E-03-1.189925099E-03-1.245951815E-03
-1.301040615E-03-1.355154182E-03-1.408241646E-03-1.460250467E-03-1.511128281E-03
-1.560820290E-03-1.609270221E-03-1.656434448E-03-1.702287304E-03-1.746813369E-03
-1.789994467E-03-1.831796359E-03-1.872182174E-03-1.911123809E-03-1.948601253E-03
-1.984598698E-03-2.019102830E-03-2.052104393E-03-2.083598111E-03-2.113581457E-03
-2.142054524E-03-2.169018186E-03-2.194470984E-03-2.218407635E-03-2.240815571E-03
-2.261667779E-03-2.280905985E-03-2.298414141E-03-2.314051421E-03-2.327728378E-03
-2.339418595E-03-2.349099158E-03-2.356732831E-03-2.362264617E-03-2.365616481E-03
-2.366693037E-03-2.365386188E-03-2.361617862E-03-2.355416746E-03-2.346863947E-03
-2.336035270E-03-2.323005363E-03-2.307870335E-03-2.290736952E-03-2.271705744E-03
-2.250831158E-03-2.228044438E-03-2.203205628E-03-2.176171213E-03-2.146813209E-03
-2.115034175E-03-2.080757462E-03-2.043919747E-03-2.004464651E-03-1.962336950E-03
-1.917499392E-03-1.869936412E-03-1.819609914E-03-1.766442761E-03-1.710372364E-03
-1.651374073E-03-1.589473785E-03-1.524745281E-03-1.457297108E-03-1.387230385E-03
-1.314579992E-03-1.239376575E-03-1.161674764E-03-1.081530243E-03-9.989928787E-04
-9.141080017E-04-8.269101265E-04-7.374018740E-04-6.455648580E-04-5.513789367E-04
-4.548234599E-04-3.559051131E-04-2.545537032E-04-1.505255347E-04-4.350925417E-05
 6.740581800E-05 1.830653440E-04 3.034159940E-04 4.284723930E-04 5.580906095E-04
 6.920917589E-04 8.303563151E-04 9.727486269E-04 1.119128483E-03 1.269377244E-03
 1.423389764E-03 1.581064862E-03 1.742309100E-03 1.907038497E-03 2.075178119E-03
 2.246662337E-03 2.421434894E-03 2.599445871E-03 2.780648381E-03 2.965002748E-03
 3.152477058E-03 3.343040975E-03 3.536665473E-03 3.733328426E-03 3.933016447E-03
 4.135725762E-03 4.341461745E-03 4.550237687E-03 4.762070314E-03 4.976977512E-03
 5.194983324E-03 5.416120006E-03 5.640429492E-03 5.867962947E-03 6.098763902E-03
 6.332835601E-03 6.570158559E-03 6.810710147E-03 7.054466799E-03 7.301402632E-03
 7.551489392E-03 7.804697089E-03 8.060994444E-03 8.320349420E-03 8.582728767E-03
 8.848097727E-03 9.116420314E-03 9.387659433E-03 9.661776552E-03 9.938731759E-03
 1.021848414E-02 1.050099151E-02 1.078621042E-02 1.107409854E-02 1.136461679E-02
 1.165772625E-02 1.195338686E-02 1.225155738E-02 1.255219546E-02 1.285525770E-02
 1.316069962E-02 1.346847545E-02 1.377853798E-02 1.409084022E-02 1.440534353E-02
 1.472201952E-02 1.504084211E-02 1.536178514E-02 1.568482218E-02 1.600992693E-02
 1.633707345E-02 1.666623585E-02 1.699738806E-02 1.733050424E-02 1.766555893E-02
 1.800252686E-02 1.834138303E-02 1.868210279E-02 1.902466079E-02 1.936902933E-02
 1.971517999E-02 2.006308467E-02 2.041271602E-02 2.076404748E-02 2.111705299E-02
 2.147170591E-02 2.182797691E-02 2.218583518E-02 2.254524993E-02 2.290619042E-02
 2.326862575E-02 2.363252505E-02 2.399785772E-02 2.436459428E-02 2.473270626E-02
 2.510216555E-02 2.547294414E-02 2.584501449E-02 2.621835135E-02 2.659293320E-02
 2.696874109E-02 2.734575854E-02 2.772397009E-02 2.810336147E-02 2.848392229E-02
 2.886564575E-02 2.924852624E-02 2.963255865E-02 3.001773798E-02 3.040405968E-02
 3.079152001E-02 3.118011609E-02 3.156984598E-02 3.196070856E-02 3.235270353E-02
 3.274583150E-02 3.314009403E-02 3.353549355E-02 3.393203244E-02 3.432971073E-02
 3.472852730E-02 3.512848157E-02 3.552957361E-02 3.593180400E-02 3.633517393E-02
 3.673968521E-02 3.714533968E-02 3.755213901E-02 3.796008526E-02 3.836918112E-02
 3.877942972E-02 3.919083469E-02 3.960340022E-02 4.001713087E-02 4.043203076E-02
 4.084810398E-02 4.126535528E-02 4.168378942E-02 4.210340728E-02 4.252420241E-02
 4.294616609E-02 4.336928956E-02 4.379356368E-02 4.421897935E-02 4.464552744E-02
 4.507319726E-02 4.550197578E-02 4.593184947E-02 4.636280497E-02 4.679482926E-02
 4.722790975E-02 4.766203395E-02 4.809718928E-02 4.853336212E-02 4.897053803E-02
 4.940870245E-02 4.984784089E-02 5.028793899E-02 5.072898240E-02 5.117095679E-02
 5.161384840E-02 5.205764554E-02 5.250233787E-02 5.294791528E-02 5.339436765E-02
 5.384168491E-02 5.428985700E-02 5.473887396E-02 5.518872659E-02 5.563940809E-02
 5.609091304E-02 5.654323621E-02 5.699637277E-02 5.745031899E-02 5.790507182E-02
 5.836062844E-02 5.881698586E-02 5.927414014E-02 5.973208686E-02 6.019082171E-02
 6.065034055E-02 6.111063927E-02 6.157171389E-02 6.203356059E-02 6.249617531E-02
 6.295955240E-02 6.342368654E-02 6.388857808E-02 6.435423107E-02 6.482064842E-02
 6.528783163E-02 6.575578217E-02 6.622450187E-02 6.669399281E-02 6.716425739E-02
 6.763529831E-02 6.810711840E-02 6.857972011E-02 6.905310515E-02 6.952727513E-02
 7.000223192E-02 7.047797778E-02 7.095451568E-02 7.143184895E-02 7.190998114E-02
 7.238891618E-02 7.286865892E-02 7.334921489E-02 7.383058983E-02 7.431278969E-02
 7.479582079E-02 7.527968978E-02 7.576440348E-02 7.624996898E-02 7.673639461E-02
 7.722369068E-02 7.771186829E-02 7.820093872E-02 7.869091343E-02 7.918180397E-02
 7.967362202E-02 8.016637947E-02 8.066008847E-02 8.115476196E-02 8.165041380E-02
 8.214705816E-02 8.264470943E-02 8.314338218E-02 8.364309122E-02 8.414385160E-02
 8.464567859E-02 8.514858742E-02 8.565259207E-02 8.615770511E-02 8.666393899E-02
 8.717130639E-02 8.767982019E-02 8.818949359E-02 8.870034003E-02 8.921237317E-02
 8.972560659E-02 9.024005201E-02 9.075571875E-02 9.127261554E-02 9.179075135E-02
 9.231013548E-02 9.283077692E-02 9.335267873E-02 9.387583407E-02 9.440023264E-02
 9.492586356E-02 9.545271457E-02 9.598077266E-02 9.651002476E-02 9.704045771E-02
 9.757205812E-02 9.810481225E-02 9.863870621E-02 9.917372602E-02 9.970985774E-02
 1.002470878E-01 1.007854029E-01 1.013247899E-01 1.018652356E-01 1.024067266E-01
 1.029492494E-01 1.034927903E-01 1.040373357E-01 1.045828716E-01 1.051293848E-01
 1.056768635E-01 1.062252974E-01 1.067746759E-01 1.073249887E-01 1.078762254E-01
 1.084283759E-01 1.089814304E-01 1.095353792E-01 1.100902124E-01 1.106459203E-01
 1.112024942E-01 1.117599260E-01 1.123182077E-01 1.128773311E-01 1.134372881E-01
 1.139980712E-01 1.145596731E-01 1.151220864E-01 1.156853040E-01 1.162493185E-01
 1.168141221E-01 1.173797067E-01 1.179460639E-01 1.185131856E-01 1.190810633E-01
 1.196496878E-01 1.202190533E-01 1.207891749E-01 1.213599465E-01 1.373800790E-02
 1.359005284E-02 1.344239260E-02 1.329507289E-02 1.314808395E-02 1.300142579E-02
 1.285510000E-02 1.270910779E-02 1.256345044E-02 1.241812932E-02 1.227314591E-02
 1.212850173E-02 1.198419842E-02 1.184023771E-02 1.169662142E-02 1.155335153E-02
 1.141043010E-02 1.126785930E-02 1.112564139E-02 1.098377873E-02 1.084227377E-02
 1.070112906E-02 1.056034726E-02 1.041993113E-02 1.027988352E-02 1.014020738E-02
 1.000090582E-02 9.861982111E-03 9.723439661E-03 9.585282008E-03 9.447512793E-03
 9.310135765E-03 9.173154780E-03 9.036573814E-03 8.900397007E-03 8.764628569E-03
 8.629272198E-03 8.494330355E-03 8.359804899E-03 8.225697849E-03 8.092011576E-03
 7.958748726E-03 7.825912195E-03 7.693505133E-03 7.561530944E-03 7.429993287E-03
 7.298896078E-03 7.168243508E-03 7.038040045E-03 6.908290421E-03 6.778999583E-03
 6.650172662E-03 6.521815041E-03 6.393932391E-03 6.266530684E-03 6.139616188E-03
 6.013195460E-03 5.887275350E-03 5.761863016E-03 5.636965937E-03 5.512591908E-03
 5.388748877E-03 5.265444703E-03 5.142687301E-03 5.020484867E-03 4.898845971E-03
 4.777779747E-03 4.657295610E-03 4.537400253E-03 4.418094001E-03 4.299374270E-03
 4.181239528E-03 4.063689859E-03 3.946726281E-03 3.830350835E-03 3.714567080E-03
 3.599380270E-03 3.484797351E-03 3.370826978E-03 3.257479532E-03 3.144767143E-03
 3.032703718E-03 2.921304971E-03 2.810588154E-03 2.700571573E-03 2.591274823E-03
 2.482719306E-03 2.374928387E-03 2.267927397E-03 2.161743684E-03 2.056406643E-03
 1.951947711E-03 1.848400394E-03 1.745800222E-03 1.644184525E-03 1.543593187E-03
 1.444071418E-03 1.345669644E-03 1.248439737E-03 1.152433584E-03 1.057703302E-03
 9.643012738E-04 8.722800044E-04 7.816920470E-04 6.925903523E-04 6.050292853E-04
 5.190646036E-04 4.347523297E-04 3.521485586E-04 2.713097277E-04 1.922868436E-04
 1.151333620E-04 4.001570246E-05-3.296280258E-05-1.046003570E-04-1.756922892E-04
-2.463247502E-04-3.164158530E-04-3.859219685E-04-4.548043610E-04-5.230245922E-04
-5.905514402E-04-6.573601489E-04-7.234313301E-04-7.887505418E-04-8.533028800E-04
-9.170656718E-04-9.800140135E-04-1.042126119E-03-1.103383555E-03-1.163769398E-03
-1.223266295E-03-1.281857261E-03-1.339526878E-03-1.396260605E-03-1.452035102E-03
-1.506806080E-03-1.560519294E-03-1.613119712E-03-1.664550793E-03-1.714752923E-03
-1.763669514E-03-1.811262325E-03-1.857508843E-03-1.902394682E-03-1.945900308E-03
-1.987992470E-03-2.028639000E-03-2.067815728E-03-2.105506084E-03-2.141698214E-03
-2.176383566E-03-2.209557254E-03-2.241216565E-03-2.271360231E-03-2.299989245E-03
-2.327104670E-03-2.352704963E-03-2.376783844E-03-2.399325517E-03-2.420295111E-03
-2.439611597E-03-2.457135344E-03-2.472726840E-03-2.486320920E-03-2.497894409E-03
-2.507416465E-03-2.514840920E-03-2.520100448E-03-2.523105943E-03-2.523751735E-03
-2.521928819E-03-2.517597222E-03-2.510821578E-03-2.501688001E-03-2.490274154E-03
-2.476668291E-03-2.460981773E-03-2.443329715E-03-2.423811083E-03-2.402439146E-03
-2.379103409E-03-2.353659081E-03-2.325968461E-03-2.295918198E-03-2.263425237E-03
-2.228422259E-03-2.190850567E-03-2.150651683E-03-2.107774709E-03-2.062192372E-03
-2.013879865E-03-1.962764192E-03-1.908760086E-03-1.851811810E-03-1.791909749E-03
-1.729101806E-03-1.663479638E-03-1.595154920E-03-1.524192986E-03-1.450614036E-03
-1.374468694E-03-1.295821744E-03-1.214733935E-03-1.131262315E-03-1.045457903E-03
-9.573511808E-04-8.669378443E-04-7.741992647E-04-6.791146055E-04-5.816459342E-04
-4.817428459E-04-3.793974510E-04-2.745625061E-04-1.670326837E-04-5.652979439E-05
