#psi, P, q
5.273437500000000000e-01 7.490062718000000132e+03 2.022215874000000024e+00
5.292968750000000000e-01 7.461184008999999605e+03 2.028465676999999801e+00
5.312500000000000000e-01 7.432005138999999872e+03 2.034775997000000114e+00
5.332031250000000000e-01 7.402533381000000190e+03 2.041147297000000194e+00
5.351562500000000000e-01 7.372775940999999875e+03 2.047580019999999834e+00
5.371093750000000000e-01 7.342739899000000150e+03 2.054074614000000132e+00
5.390625000000000000e-01 7.312431924000000436e+03 2.060631583999999794e+00
5.410156250000000000e-01 7.281858457999999700e+03 2.067251456000000154e+00
5.429687500000000000e-01 7.251025880999999572e+03 2.073934754000000158e+00
5.449218750000000000e-01 7.219940684999999576e+03 2.080682051999999782e+00
5.468750000000000000e-01 7.188609548999999788e+03 2.087493997999999795e+00
5.488281250000000000e-01 7.157039096000000427e+03 2.094371240000000078e+00
5.507812500000000000e-01 7.125235681000000113e+03 2.101314433000000204e+00
5.527343750000000000e-01 7.093204628000000412e+03 2.108324311000000062e+00
5.546875000000000000e-01 7.060950915000000350e+03 2.115401625000000063e+00
5.566406250000000000e-01 7.028479494000000159e+03 2.122547117999999955e+00
5.585937500000000000e-01 6.995795852999999624e+03 2.129761552000000169e+00
5.605468750000000000e-01 6.962906039999999848e+03 2.137045704999999796e+00
5.625000000000000000e-01 6.929816071000000193e+03 2.144400350999999816e+00
5.644531250000000000e-01 6.896532145999999557e+03 2.151826250000000051e+00
5.664062500000000000e-01 6.863061375000000226e+03 2.159324144999999806e+00
5.683593750000000000e-01 6.829411041999999725e+03 2.166894768000000138e+00
5.703125000000000000e-01 6.795588410999999724e+03 2.174538838999999779e+00
5.722656250000000000e-01 6.761601966999999604e+03 2.182257045000000062e+00
5.742187500000000000e-01 6.727461403000000246e+03 2.190050031000000175e+00
5.761718750000000000e-01 6.693176373999999669e+03 2.197918436000000142e+00
5.781250000000000000e-01 6.658754836000000068e+03 2.205862929999999889e+00
5.800781250000000000e-01 6.624197807999999895e+03 2.213884334999999925e+00
5.820312500000000000e-01 6.589504463000000214e+03 2.221983509999999828e+00
5.839843750000000000e-01 6.554674232000000302e+03 2.230161293000000100e+00
5.859375000000000000e-01 6.519714646000000357e+03 2.238418241000000197e+00
5.878906250000000000e-01 6.484642804000000069e+03 2.246754571999999950e+00
5.898437500000000000e-01 6.449476198999999724e+03 2.255170484000000197e+00
5.917968750000000000e-01 6.414238465000000360e+03 2.263666101000000097e+00
5.937500000000000000e-01 6.378990673999999672e+03 2.272241116000000005e+00
5.957031250000000000e-01 6.343807214000000386e+03 2.280895070000000135e+00
5.976562500000000000e-01 6.308761798000000454e+03 2.289627503999999814e+00
5.996093750000000000e-01 6.273930400000000191e+03 2.298437999999999981e+00
6.015625000000000000e-01 6.239393557999999757e+03 2.307326204999999852e+00
6.035156250000000000e-01 6.205231577999999899e+03 2.316291774000000192e+00
6.054687500000000000e-01 6.171518468999999641e+03 2.325334444000000111e+00
6.074218750000000000e-01 6.138265212999999676e+03 2.334454837000000005e+00
6.093750000000000000e-01 6.105443331999999828e+03 2.343654127000000198e+00
6.113281250000000000e-01 6.073023992000000362e+03 2.352933487000000046e+00
6.132812500000000000e-01 6.040965651000000435e+03 2.362294335000000078e+00
6.152343750000000000e-01 6.009181924000000436e+03 2.371738985999999993e+00
6.171875000000000000e-01 5.977577395999999680e+03 2.381269930000000201e+00
6.191406250000000000e-01 5.946058339000000160e+03 2.390889629000000127e+00
6.210937500000000000e-01 5.914563071999999920e+03 2.400600438000000114e+00
6.230468750000000000e-01 5.883071340000000419e+03 2.410404576999999993e+00
6.250000000000000000e-01 5.851565849999999955e+03 2.420304237999999941e+00
6.269531250000000000e-01 5.820031291999999667e+03 2.430301588999999929e+00
6.289062500000000000e-01 5.788469736000000012e+03 2.440398763000000137e+00
6.308593750000000000e-01 5.756892716000000291e+03 2.450597868000000013e+00
6.328125000000000000e-01 5.725311754999999721e+03 2.460900985999999957e+00
6.347656250000000000e-01 5.693735623999999916e+03 2.471310191000000156e+00
6.367187500000000000e-01 5.662163446999999906e+03 2.481827555999999824e+00
6.386718750000000000e-01 5.630592195000000174e+03 2.492455141999999846e+00
6.406250000000000000e-01 5.599018896999999924e+03 2.503194988000000176e+00
6.425781250000000000e-01 5.567442670000000362e+03 2.514049047999999953e+00
6.445312500000000000e-01 5.535865936999999576e+03 2.525019144999999909e+00
6.464843750000000000e-01 5.504291395000000193e+03 2.536107079000000208e+00
